label,review
__label__1,"Emg Parah sih, member platinum bukan di treat lebih baik, kasih promo / potongan khusus kek, eh ini yang lain dapet voucher free ong, yg platinum malah ga dikasih dan disuruh beli. dimana member vip tu ditreat dengan baik yaa, Shopee. tolong diperbaiki pelayanan."
__label__5,"Done udh follow shopee. HAPPY BIRTHDAY Semoga laku jualan banyak orderan, ga kena tipu orang laknat, diberi kemudahan dalam berbisnis, semoga jadi star seller ya, pelayanan terus bagus dan humble, semoga pendapatan makin naik dan bisa handle akun olshop dgn baik"
__label__5,"Pagi..... selalu pake j & t kalo belanja di shopee karna pelayanan yg cepet bgt aslian terus buat org kaya aku ongkir beuh ramah di kantong, terus terus tracking jelas lagi lagi kurir baik- baik ya ampun terus terus semoga makin terdepan"
__label__5,gatau ini oot atau ngga tp sumpah admin shopee sm pelayanan baik bgt sukaa
__label__5,"##.. Dari sekian banyak aplikasi online paling suka sama shopee karena pelayanan baik, tidak mengecewakan, selalu puas, banyak gratis ongkir juga, slalu puas poko"
__label__5,"Shopee emng baik banget, pelayanan super sekali!!"
__label__1,Stiker gue gak pernah dikirim anjir kecewa banget sama pelayanan gue udh tunggu po terus pas sampe barang ada yang kurang yaitu stiker gue pdhl udh bayar full gue chat baik baik di shopee bilang mau dikirim tapi gak pernah sampe
__label__1,"Ya allah paket gue dr tanggal gak dikirim sama shopee express keburu abis ni sunscreen gue astaga bisa bisa sampe setelah lebaran nih gila pelayanan buruk bgt, maka jangan #TegaSamaKurir @ShopeeID @ShopeeCare"
__label__1,kenapa ya shopee segar jualan telur busuk? aku kan manusia bukan jin : ) . . . ajukan refund malah dikasih k doang kan anjimp bgt berasa kena tipu. dahal dikelola shopee loh. shopee pelayanan buruk bgt : ( . dahal member platinum. uninstall ajalah g guna
__label__1,"Gatau kenapa Shopee makin kesini tuh pelayanan makin buruk, ini @ShopeeCare bisa bales mention ku blg suruh DM pdhl udh DM dari kemarin dan ga dibalas sama sekali. Kalo kayak gini malah makin buang"" waktu kan ya, barang lama bgt, cs lemot banget"
__label__1,Baru kali ini belanja di shopee tapi pelayanan jelek begini. Pesen dari tanggal baru di konfirmasi tanggal baju stok habis yang seharus di jadwal dikirim sebelum tanggal . Padahal shopeemall tapi pelayanan buruk!
__label__1,"paket dengan nomer resi itu tidak berpindah, diam ditempat. . . Kalau gak dipilih oleh Shopee gak bakal pilih expedisi ini, pelayanan sangat buruk bagaimana pembeli online percaya dengan jasa expedisi ini kalau pelayanan seperti ini"
__label__1,shopee lama menang branding doang tp pelayanan buruk bgt deh sebel
__label__1,"Shopee express emang buruk banget pelayanan, tapi belakangan banyak OS yg ga ada pilihan ekspedisi lain selain shopee express"
__label__1,"Sempet rada deg degan jugaa pas kemaren shopee gak ngeliatin jasa pengiriman pake apa. Bener bener menghindari make ekspedisi yang buruk pelayanan. Tau bener deh, pake ekspedisi itu dan paket diantar gak tau ke rumah siapa tapi diterima atas nama aku. Ya Tuhan"
__label__1,"dasar tidak tau diri kau @ShopeeID @ShopeeCare kenapa kau pilihkan jasa kirim otomatis ha? TIDAK BISA DIGANTI PULA! ! kau memaksa pengguna untuk pakai Shopee Express yg mana pelayanan sendiri sangat buruk! ! ! dan juga JNE, saya juga anti pakai jasa kirim ini, sebelum paket. ."
__label__1,"ngasih info aja gabisa, punya wa bisnis dibales pun gak, dm ig juga skrg gapernah dibales, chat shopee gaada tanggepan. Buruk banget pelayanan, ak dah cukup sabar bulan kirain bklan dikirim ternyata mlh begini. Bikin ice mochi, kapok parah, nyessl ga minta refund."
__label__1,"Shopee pelayanan buruk Udah gitu pas blackpink ada acara malah sok giveaway, ckckck manner jelek bgt"
__label__1,buruk bgt shopee anjir pelayanan. udh gt ribet bgt
__label__1,"Mau nangis banged gue, pdahal shopee mall tapi pelayanan buruk banget!"
__label__1,"Shopee pelayanan buruk banget! Gila, jam nunggu pulsa gue yg udah dibayar, sampai sekarang disuruh nunggu - hari, bangke ga sih"
__label__1,"Nggak ada acara sampe email, komplain sana sini dll. x jam semua persoalan beres. Benar ngk ada yg di rugikan dlm penyelesaian maslah. Sejauh ini dari semua aplikasi belanja online yg aku pakai shopee pelayanan yg paling buruk."
__label__1,"Sekelas @ShopeeID Mall lho, masa pelayanan buruk bgt, @ShopeeID tolong ditegur donk itu @nacificcos biar gak kaya gini pelayanan, udah seminggu lebih masih dikemas, garansi shopee udah mau habis pula"
__label__1,"Udah langgan tahun sama ni olshop baju, dari tahun ke tahun makin buruk aja pelayanan. Sistem shopee juga ngeselin pengajuan pengembalian"
__label__1,"beli beras di shopee dr tgl feb ampe skrg gak mpe, tolong d bantu dong @JNECare. . knp skrg jd buruk pelayanan beda sm tetangga sebelah si**p**"
__label__1,Iya kalah sama startup kecil. Sangat disayangkan sekali perusahaan besar seperti shopee pelayanan buruk. Bukan memudahkan malah menyulitkan.
__label__1,Payah! Padahal itu tiket yang kelola shopee sendiri tapi pelayanan sangat buruk. Saya sangat kecewa.
__label__1,hadeh shopee pelayanan buruk bgt
